# data format,5,
#,30,30,900,35,35,5,5,
#  xx,   yy, zz,   uu,   vv, ww,
  390,  705,  0,    6,  -13,  0,
  425,  705,  0,  -14,   -9,  0,
  460,  705,  0,   15,  -12,  0,
  495,  705,  0,  -13,   -8,  0,
  530,  705,  0,  -14,   15,  0,
  565,  705,  0,  -12,  -13,  0,
  600,  705,  0,  -15,   15,  0,
  635,  705,  0,   15,  -15,  0,
  670,  705,  0,  -15,  -13,  0,
  705,  705,  0,  -15,   15,  0,
  740,  705,  0,   15,   14,  0,
  775,  705,  0,   -9,   -7,  0,
  810,  705,  0,   15,  -14,  0,
  845,  705,  0,   13,  -12,  0,
  880,  705,  0,  -15,   10,  0,
  915,  705,  0,  -12,    9,  0,
  950,  705,  0,   15,  -15,  0,
  985,  705,  0,   14,  -10,  0,
 1020,  705,  0,   15,  -14,  0,
,
    5,  740,  0,  -13,   14,  0,
   40,  740,  0,   -7,   15,  0,
   75,  740,  0,  -15,  -13,  0,
  110,  740,  0,  -14,  -15,  0,
  145,  740,  0,  -15,   12,  0,
  180,  740,  0,   -5,   15,  0,
  215,  740,  0,   13,   15,  0,
  250,  740,  0,   15,  -13,  0,
  285,  740,  0,  -15,  -13,  0,
  320,  740,  0,   15,  -14,  0,
  355,  740,  0,    9,  -15,  0,
  390,  740,  0,   15,  -15,  0,
  425,  740,  0,   15,  -15,  0,
  460,  740,  0,    0,    0,  0,
  495,  740,  0,  -13,   -9,  0,
  530,  740,  0,   -8,  -15,  0,
  565,  740,  0,   11,  -15,  0,
  600,  740,  0,    6,   13,  0,
  635,  740,  0,  -11,    7,  0,
  670,  740,  0,    9,   11,  0,
  705,  740,  0,  -15,   13,  0,
  740,  740,  0,    0,    0,  0,
  775,  740,  0,   14,   -5,  0,
  810,  740,  0,   15,   -6,  0,
  845,  740,  0,   -6,  -14,  0,
  880,  740,  0,   15,   15,  0,
  915,  740,  0,   15,   14,  0,
  950,  740,  0,  -10,   12,  0,
  985,  740,  0,  -14,   -7,  0,
 1020,  740,  0,   15,   14,  0,
,
    5,  775,  0,  -15,  -15,  0,
   40,  775,  0,  -15,  -14,  0,
   75,  775,  0,   -3,   -9,  0,
  110,  775,  0,   15,   15,  0,
  145,  775,  0,   -8,   10,  0,
  180,  775,  0,   15,  -15,  0,
  215,  775,  0,  -15,  -13,  0,
  250,  775,  0,  -14,  -14,  0,
  285,  775,  0,   12,   -4,  0,
  320,  775,  0,   -6,   13,  0,
  355,  775,  0,  -15,   15,  0,
  390,  775,  0,   15,   15,  0,
  425,  775,  0,   -9,   14,  0,
  460,  775,  0,   15,  -15,  0,
  495,  775,  0,   15,  -15,  0,
  530,  775,  0,   13,    6,  0,
  565,  775,  0,    0,    0,  0,
  600,  775,  0,    9,   -7,  0,
  635,  775,  0,   15,   15,  0,
  670,  775,  0,  -13,  -12,  0,
  705,  775,  0,   -7,    9,  0,
  740,  775,  0,   15,    5,  0,
  775,  775,  0,  -15,   -7,  0,
  810,  775,  0,   15,  -14,  0,
  845,  775,  0,   11,  -15,  0,
  880,  775,  0,   15,   10,  0,
